orderId,strategyRunId,symbol,orderType,openTime,closeTime,openPrice,closePrice,size,profit,balance,closeType,comment,sl,tp,swap,commission
207635055_220804006_D,43,XAUUSD,Buy,2022-08-11 06:31:13,2022-08-15 06:00:00,1787.2,1796.29,0.1,88.72,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1773.64,1825.1,-3.51,-0.87
207844529_220804006_D,43,XAUUSD,Buy,2022-08-16 16:00:24,2022-08-17 16:00:00,1772.91,1771.56,0.1,-13.29,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1759.35,1810.81,-1.71,-0.87
207978627_220804006_D,43,XAUUSD,Buy,2022-08-18 21:57:30,2022-08-19 17:37:05,1759.78,1746.22,0.1,-135.03,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1746.22,1797.68,-1.85,-0.87
208032139_220804006_D,43,XAUUSD,Buy,2022-08-24 18:15:04,2022-08-25 21:31:33,1755.29,1756.75,0.1,14.64,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1741.73,1793.19,-6.86,-0.88
208327462_220804006_D,43,XAUUSD,Buy,2022-08-26 15:30:05,2022-08-26 18:14:23,1749.89,1736.33,0.1,-135.65,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1736.33,1787.79,0,-0.87
208397432_220804006_D,43,XAUUSD,Buy,2022-08-29 15:47:51,2022-08-30 15:30:00,1734.11,1733.11,0.1,-9.97,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1720.55,1772.01,-1.75,-0.86
208553186_220804006_D,43,XAUUSD,Buy,2022-08-31 11:01:00,2022-09-01 01:21:27,1721.13,1707.57,0.1,-134.91,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1707.57,1759.03,-6.77,-0.86
208614808_220804006_D,43,XAUUSD,Buy,2022-09-01 02:34:02,2022-09-01 15:43:15,1709.58,1696.02,0.1,-135.69,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1696.02,1747.48,0,-0.85
208913696_220804006_D,43,XAUUSD,Buy,2022-09-07 10:02:12,2022-09-08 10:00:00,1699.82,1719.6,0.1,197.83,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1686.26,1737.72,-5.22,-0.86
209394189_220804006_D,43,XAUUSD,Buy,2022-09-14 21:30:01,2022-09-15 15:20:23,1697.02,1683.46,0.1,-135.82,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1683.46,1734.92,-6.76,-0.85
209480993_220804006_D,43,XAUUSD,Buy,2022-09-16 10:00:01,2022-09-19 10:00:00,1660.32,1665.98,0.1,56.77,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1646.76,1698.22,0,-0.83
209933212_220804006_D,43,XAUUSD,Buy,2022-09-23 16:09:58,2022-09-23 17:21:25,1655.6,1642.04,0.1,-139.29,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1642.04,1693.5,0,-0.85
210009710_220804006_D,43,XAUUSD,Buy,2022-09-26 04:04:42,2022-09-26 20:13:07,1639.72,1626.16,0.1,-141.15,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1626.16,1677.62,0,-0.85
210273284_220804006_D,43,XAUUSD,Buy,2022-09-28 09:40:47,2022-09-28 19:03:50,1622.65,1660.55,0.1,390.64,None,XAUUSD_H1_220804006tp,XAUUSD_H1_220804006[tp],1609.09,1660.55,0,-0.85
211218603_220804006_D,43,XAUUSD,Buy,2022-10-07 13:30:34,2022-10-07 15:50:38,1706.85,1693.29,0.1,-139.26,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1693.29,1744.75,0,-0.87
211235770_220804006_D,43,XAUUSD,Buy,2022-10-07 19:12:25,2022-10-07 22:30:10,1706.85,1693.29,0.1,-139.34,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1693.29,1744.75,0,-0.87
211387772_220804006_D,43,XAUUSD,Buy,2022-10-11 05:31:40,2022-10-12 05:30:01,1665.69,1663.26,0.1,-25.08,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1652.13,1703.59,-2.1,-0.86
211778301_220804006_D,43,XAUUSD,Buy,2022-10-14 22:30:57,2022-10-17 22:30:00,1642.34,1649.78,0.1,75.65,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1628.78,1680.24,-2.11,-0.84
211961963_220804006_D,43,XAUUSD,Buy,2022-10-19 10:51:00,2022-10-19 14:05:16,1645.8,1632.24,0.1,-138.69,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1632.24,1683.7,0,-0.84
212005489_220804006_D,43,XAUUSD,Buy,2022-10-20 03:11:54,2022-10-21 03:00:00,1627.73,1626.85,0.1,-9,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1614.17,1665.63,-1.99,-0.83
212072281_220804006_D,43,XAUUSD,Buy,2022-10-21 07:26:24,2022-10-24 01:01:00,1622.43,1660.33,0.1,383.44,None,XAUUSD_H1_220804006tp,XAUUSD_H1_220804006[tp],1608.87,1660.33,-1.94,-0.83
212252166_220804006_D,43,XAUUSD,Buy,2022-10-25 14:29:03,2022-10-26 14:00:00,1643.9,1668.67,0.1,247.13,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1630.34,1681.8,-1.98,-0.83
212512112_220804006_D,43,XAUUSD,Buy,2022-10-31 12:21:05,2022-11-01 12:00:00,1637.98,1647.49,0.1,95.83,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1624.42,1675.88,-2.04,-0.82
212678975_220804006_D,43,XAUUSD,Buy,2022-11-03 03:13:41,2022-11-03 12:43:49,1634.53,1620.97,0.1,-138.99,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1620.97,1672.43,0,-0.83
213430893_220804006_D,43,XAUUSD,Buy,2022-11-18 19:00:01,2022-11-21 10:42:49,1754.45,1740.89,0.1,-132.19,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1740.89,1792.35,-2.49,-0.85
213567417_220804006_D,43,XAUUSD,Buy,2022-11-23 08:01:46,2022-11-23 15:30:05,1737.05,1723.49,0.1,-131.35,None,XAUUSD_H1_220804006sl,XAUUSD_H1_220804006[sl],1723.49,1774.95,0,-0.84
213585593_220804006_D,43,XAUUSD,Buy,2022-11-23 16:03:10,2022-11-25 19:00:00,1737.05,1751.39,0.1,137.87,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1723.49,1774.95,-9.62,-0.84
214335212_220804006_D,43,XAUUSD,Buy,2022-12-12 06:06:58,2022-12-14 06:00:00,1788.41,1809.91,0.1,202.33,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1774.85,1826.31,-5.11,-0.85
215135493_220804006_D,43,XAUUSD,Buy,2022-12-28 18:00:07,2022-12-30 18:00:00,1799.66,1818.48,0.1,176.35,None,XAUUSD_H1_220804006,XAUUSD_H1_220804006,1786.1,1837.56,-17.89,-0.85
215522878_220804006_D,43,XAUUSD,Buy,2023-01-05 16:13:06,2023-01-09 03:45:18,1836.12,1874.02,0.1,355.19,None,XAUUSD_H1_220804006tp,XAUUSD_H1_220804006[tp],1822.56,1874.02,-5.31,-0.87
