Entry,SuccessPct,MeanNetProfit
1,97.20,14488.89
10,84.80,4879.85
11,90.00,6152.33
12,99.80,19733.47
13,99.40,23812.33
14,98.80,19014.46
15,98.60,14986.60
16,97.40,13947.85
17,97.40,12124.74
18,99.00,18557.67
19,99.40,18443.71
2,96.80,12539.80
20,99.40,19115.81
21,99.00,19569.97
22,98.60,20185.98
23,91.40,4473.94
24,98.80,8214.99
25,76.00,1200.15
26,88.40,5311.81
27,91.20,6504.26
28,65.40,2522.09
29,53.80,1943.59
3,94.40,9784.27
30,62.60,2571.41
31,90.40,6206.83
32,0.00,0.00
33,0.00,0.00
34,73.40,3596.79
35,91.60,8418.12
4,98.60,14326.89
5,99.20,12450.54
6,99.80,15515.86
7,94.20,11897.52
8,93.80,10262.59
9,90.80,9050.83
