MINI-BOS-SMART-CODE-3.0: POI_Switch,MINI-BOS-SMART-CODE-3.0: Space_Switch,MINI-BOS-SMART-CODE-3.0: Fltr1_Switch,MINI-BOS-SMART-CODE-3.0: Fltr2_Switch,MINI-BOS-SMART-CODE-3.0: My_Bars_Since_Entry,MINI-BOS-SMART-CODE-3.0: Fract,MINI-BOS-SMART-CODE-3.0: POI_N1,MINI-BOS-SMART-CODE-3.0: NATR,MINI-BOS-SMART-CODE-3.0: Filter1_N1,MINI-BOS-SMART-CODE-3.0: Filter1_N2
3.00,1.00,10.00,0.00,26.00,0.70,1.00,5.00,24.00,7.00
3.00,1.00,2.00,0.00,27.00,0.70,2.00,5.00,19.00,20.00
3.00,2.00,10.00,0.00,27.00,0.70,2.00,5.00,19.00,5.00
3.00,2.00,2.00,0.00,27.00,0.70,2.00,5.00,19.00,5.00
3.00,2.00,2.00,0.00,27.00,0.70,2.00,5.00,19.00,11.00
3.00,2.00,10.00,0.00,26.00,0.90,6.00,5.00,19.00,10.00
3.00,2.00,10.00,1.00,26.00,0.70,6.00,5.00,24.00,19.00
3.00,1.00,10.00,1.00,26.00,0.70,6.00,5.00,24.00,16.00
3.00,2.00,2.00,0.00,25.00,0.70,5.00,5.00,18.00,22.00
3.00,1.00,2.00,0.00,25.00,0.70,5.00,60.00,18.00,11.00
3.00,1.00,10.00,0.00,27.00,0.80,1.00,5.00,18.00,20.00
3.00,2.00,2.00,0.00,25.00,0.70,3.00,60.00,25.00,6.00
3.00,2.00,10.00,0.00,25.00,0.70,3.00,60.00,24.00,10.00
3.00,2.00,10.00,0.00,25.00,0.70,7.00,60.00,22.00,10.00
3.00,2.00,2.00,0.00,25.00,0.70,3.00,60.00,24.00,19.00
3.00,2.00,10.00,0.00,25.00,0.70,4.00,60.00,22.00,6.00
3.00,2.00,10.00,1.00,25.00,0.70,5.00,5.00,18.00,22.00
3.00,1.00,10.00,0.00,25.00,0.70,8.00,60.00,24.00,10.00
3.00,2.00,14.00,1.00,25.00,0.70,7.00,55.00,16.00,10.00
3.00,1.00,10.00,0.00,25.00,0.70,1.00,60.00,24.00,11.00
