"Strategy Name";"Filters result";"Complexity";"# of trades";"Profit factor";"Net profit";"Drawdown";"Ret/DD Ratio";"Avg. Trade";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 2.3.170";"";"4";"998";"1.6";"36966.83";"2463.91";"15.0";"37.04";"0.9";"362";"";"null";"TEMA";"ExitAfterXBars";"0.0";"18.75";"1.15";"1.15"
"Strategy 4.2.120";"";"5";"1437";"1.41";"36903.33";"2869.61";"12.86";"25.68";"0.88";"305";"";"null";"Close,HeikenAshiClose";"ExitAfterXBars";"0.0";"18.73";"1.02";"1.02"
"Strategy 4.4.109";"";"4";"1389";"1.39";"35097.38";"2537.66";"13.83";"25.27";"0.87";"305";"";"null";"Close,HeikenAshiClose";"ExitAfterXBars";"0.0";"18.22";"0.99";"0.99"
"Strategy 4.5.107";"";"6";"1428";"1.44";"38712.34";"2463.91";"15.71";"27.11";"0.89";"493";"";"null";"Close,TEMA";"ExitAfterXBars";"0.0";"19.24";"1.06";"1.06"
"Strategy 4.5.176";"";"4";"1455";"1.38";"35597.79";"2869.61";"12.41";"24.47";"0.83";"329";"";"null";"Close,HeikenAshiClose";"ExitAfterXBars";"0.0";"18.36";"0.99";"0.99"
"Strategy 4.2.122";"";"4";"1112";"1.48";"33875.91";"2480.29";"13.66";"30.46";"0.89";"530";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.86";"1.17";"1.17"
"Strategy 2.2.131";"";"4";"1586";"1.43";"41196.21";"2463.91";"16.72";"25.97";"0.9";"568";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.9";"1.11";"1.11"
"Strategy 2.4.117";"";"4";"1013";"1.53";"33126.2";"2463.91";"13.44";"32.7";"0.86";"406";"";"";"HighD";"ExitAfterXBars";"0.0";"17.63";"0.9";"0.9"
"Strategy 2.4.165";"";"4";"1264";"1.52";"38963.13";"2530.13";"15.4";"30.83";"0.88";"541";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.3";"1.01";"1.01"
"Strategy 1.3.137";"";"3";"1076";"1.49";"34151.67";"2463.91";"13.86";"31.74";"0.87";"542";"";"";"HeikenAshiLow";"ExitAfterXBars";"0.0";"17.94";"1.18";"1.18"
"Strategy 2.5.182";"";"4";"1013";"1.5";"31163.67";"2463.91";"12.65";"30.76";"0.88";"348";"";"";"HighD";"ExitAfterXBars";"0.0";"17.03";"0.94";"0.94"
