"Strategy Name";"Filters result";"Complexity";"# of trades";"Profit factor";"Net profit";"Drawdown";"Ret/DD Ratio";"Avg. Trade";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 1.7.138";"PASSED";"7";"61";"1.27";"3200.03";"2613.22";"1.22";"52.46";"0.69";"104";"";"";"Close,TEMA";"ExitAfterXBars";"0.0";"32.0";"1.73";"1.73"
"Strategy 1.7.137";"PASSED";"6";"104";"1.29";"5128.62";"2870.11";"1.79";"49.31";"0.56";"104";"";"";"TEMA";"ExitAfterXBars";"0.0";"51.29";"2.91";"2.91"
"Strategy 4.18.182";"PASSED";"5";"157";"1.11";"3007.02";"6613.92";"0.45";"19.15";"0.34";"167";"";"";"TEMA";"ExitAfterXBars";"0.0";"30.07";"0.81";"0.81"
"Strategy 1.20.157";"PASSED";"5";"174";"1.07";"2138.58";"5439.0";"0.39";"12.29";"0.42";"167";"";"";"TEMA";"ExitAfterXBars";"0.0";"21.39";"0.62";"0.62"
"Strategy 1.20.152";"PASSED";"5";"125";"1.02";"517.66";"5856.26";"0.09";"4.14";"0.43";"88";"";"";"TEMA";"ExitAfterXBars";"0.0";"5.18";"0.13";"0.13"
"Strategy 1.20.159";"PASSED";"4";"138";"1.15";"3653.79";"6183.57";"0.59";"26.48";"0.38";"97";"";"";"TEMA";"ExitAfterXBars";"0.0";"36.54";"1.07";"1.07"
"Strategy 4.18.180";"PASSED";"4";"124";"1.01";"311.64";"5835.39";"0.05";"2.51";"0.44";"88";"";"";"TEMA";"ExitAfterXBars";"0.0";"3.12";"0.08";"0.08"
"Strategy 1.11.112";"PASSED";"5";"116";"1.07";"1676.95";"4505.34";"0.37";"14.46";"0.49";"177";"";"";"Close";"ExitAfterXBars";"0.0";"16.77";"0.54";"0.54"
"Strategy 1.11.113";"PASSED";"5";"119";"1.18";"3858.51";"5046.48";"0.76";"32.42";"0.43";"114";"";"";"TEMA";"ExitAfterXBars";"0.0";"38.59";"1.3";"1.3"
"Strategy 4.17.134";"PASSED";"4";"142";"1.13";"3219.58";"4693.12";"0.69";"22.67";"0.38";"169";"";"";"High";"ExitAfterXBars";"0.0";"32.2";"1.14";"1.14"
"Strategy 4.18.184";"PASSED";"5";"127";"1.08";"1826.9";"6810.78";"0.27";"14.39";"0.4";"70";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.27";"0.45";"0.45"
"Strategy 1.8.174";"PASSED";"5";"136";"1.11";"2743.64";"7016.83";"0.39";"20.17";"0.32";"169";"";"";"Close,High";"ExitAfterXBars";"0.0";"27.44";"0.71";"0.71"
"Strategy 4.17.138";"PASSED";"7";"178";"1.05";"1570.01";"5557.65";"0.28";"8.82";"0.39";"95";"";"";"TEMA";"ExitAfterXBars";"0.0";"15.7";"0.44";"0.44"
"Strategy 4.10.147";"PASSED";"4";"161";"1.12";"3287.39";"6242.28";"0.53";"20.42";"0.38";"167";"";"";"TEMA";"ExitAfterXBars";"0.0";"32.87";"0.94";"0.94"
"Strategy 4.6.161";"PASSED";"5";"79";"1.21";"3082.66";"2343.31";"1.32";"39.02";"0.71";"147";"";"";"High";"ExitAfterXBars";"0.0";"30.83";"1.64";"1.64"
"Strategy 1.7.130";"PASSED";"3";"114";"1.08";"1697.82";"4211.93";"0.4";"14.89";"0.45";"216";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"16.98";"0.57";"0.57"
"Strategy 1.12.155";"FAILED";"3";"98";"0.93";"-1448.74";"5304.69";"-0.27";"-14.78";"-0.54";"218";"";"";"Close";"ExitAfterXBars";"0.0";"-14.49";"-0.34";"-0.34"
"Strategy 4.10.140";"FAILED";"4";"99";"1.0";"-15.65";"4983.91";"0.0";"-0.16";"-0.46";"218";"";"";"Close";"ExitAfterXBars";"0.0";"-0.16";"0.0";"0.0"
"Strategy 3.8.126";"PASSED";"5";"188";"1.03";"1096.65";"5393.38";"0.2";"5.83";"0.47";"167";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"10.97";"0.31";"0.31"
"Strategy 1.20.145";"PASSED";"6";"103";"1.01";"217.77";"4978.67";"0.04";"2.11";"0.4";"107";"";"";"High,HighD";"ExitAfterXBars";"0.0";"2.18";"0.06";"0.06"
"Strategy 1.7.144";"PASSED";"6";"82";"1.01";"177.35";"4414.05";"0.04";"2.16";"0.61";"218";"";"";"HeikenAshiLow,TEMA";"ExitAfterXBars";"0.0";"1.77";"0.05";"0.05"
"Strategy 4.17.129";"PASSED";"3";"98";"1.0";"39.12";"3692.91";"0.01";"0.4";"0.59";"174";"";"";"High";"ExitAfterXBars";"0.0";"0.39";"0.01";"0.01"
"Strategy 1.11.123";"PASSED";"5";"143";"1.12";"3085.26";"5060.82";"0.61";"21.58";"0.46";"96";"";"";"Close,High";"ExitAfterXBars";"0.0";"30.85";"1.0";"1.0"
"Strategy 1.20.144";"PASSED";"4";"127";"1.03";"787.6";"6891.67";"0.11";"6.2";"0.38";"169";"";"";"TEMA";"ExitAfterXBars";"0.0";"7.88";"0.18";"0.18"
"Strategy 4.17.126";"PASSED";"4";"200";"1.13";"4121.93";"5557.65";"0.74";"20.61";"0.5";"70";"";"";"HeikenAshiClose";"ExitAfterXBars";"0.0";"41.22";"1.33";"1.33"
